"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"21327",21327,"Grey Zone, The",2001,108,5000000,7.3,1553,0,0,0,1,0,0,0
"21374",21374,"Groove",2000,86,500000,6,1171,0,0,0,1,0,0,0
"21382",21382,"Grosse Pointe Blank",1997,107,15000000,7.4,20400,0,0,1,0,0,1,0
"21407",21407,"Grudge, The",2004,92,10000000,5.9,11441,0,0,0,0,0,0,0
"21411",21411,"Grumpier Old Men",1995,101,25000000,6.2,3711,0,0,1,0,0,1,0
"21472",21472,"Guerre du feu, La",1981,100,12500000,7.1,2059,0,0,0,1,0,0,0
"21483",21483,"Guess Who's Coming to Dinner",1967,108,4000000,7.5,3892,0,0,1,1,0,1,0
"21559",21559,"Gun Shy",2000,101,10000000,5.4,1701,0,0,1,0,0,1,0
"21585",21585,"Gunga Din",1939,117,1910000,7.6,1988,1,0,1,0,0,0,0
"21614",21614,"Guns of Navarone, The",1961,156,6000000,7.6,5157,1,0,0,1,0,0,0
"21635",21635,"Guru, The",2002,94,11000000,5.9,3505,0,0,1,0,0,1,0
"21648",21648,"Guy Thing, A",2003,101,20000000,5.3,2885,0,0,1,0,0,1,0
"21654",21654,"Guys and Dolls",1955,152,5500000,7.2,1988,0,0,1,0,0,1,0
"21758",21758,"Hair",1979,121,11000000,6.8,4248,0,0,1,1,0,0,0
"21765",21765,"Hairspray",1988,92,2000000,6.6,2752,0,0,1,1,0,0,0
"21806",21806,"Half Past Dead",2002,98,30000000,3.9,2099,1,0,0,0,0,0,0
"21829",21829,"Halloween",1978,101,325000,7.7,19248,0,0,0,0,0,0,0
"21830",21830,"Halloween 4: The Return of Michael Myers",1988,88,5000000,5,3177,0,0,0,0,0,0,0
"21831",21831,"Halloween 5",1989,96,5000000,4.2,2597,0,0,0,0,0,0,0
"21832",21832,"Halloween H20: 20 Years Later",1998,85,17000000,5.3,8153,0,0,0,0,0,0,0
"21833",21833,"Halloween II",1981,90,2500000,5.7,5157,0,0,0,0,0,0,0
"21834",21834,"Halloween III: Season of the Witch",1982,96,2500000,3.6,4020,0,0,0,0,0,0,0
"21836",21836,"Halloween: Resurrection",2002,89,15000000,4.3,4323,0,0,0,0,0,0,0
"21837",21837,"Halloween: The Curse of Michael Myers",1995,88,5000000,4.2,2662,0,0,0,0,0,0,0
"21865",21865,"Hamlet",1996,242,18000000,7.7,10065,0,0,0,1,0,1,0
"21926",21926,"Hang 'Em High",1968,114,1800000,6.7,3003,0,0,0,1,0,0,0
"21936",21936,"Hanging Up",2000,94,40000000,4.4,3129,0,0,1,1,0,0,0
"21957",21957,"Hannah and Her Sisters",1986,106,6400000,7.8,7597,0,0,1,1,0,1,0
"21959",21959,"Hannibal",2001,133,87000000,6.2,28876,0,0,0,0,0,0,0
"21990",21990,"Happiness",1998,134,3000000,7.7,11737,0,0,1,1,0,0,0
"22012",22012,"Happy Gilmore",1996,92,10000000,6.8,17746,0,0,1,0,0,0,0
"22043",22043,"Happy, Texas",1999,98,1700000,6.4,3453,0,0,1,0,0,0,0
"22054",22054,"Hard Ball",2001,109,21000000,6,3083,0,0,0,1,0,0,0
"22064",22064,"Hard Day's Night, A",1964,87,560000,7.7,6314,0,0,1,0,0,0,0
"22082",22082,"Hard Rain",1998,97,70000000,5.5,6161,1,0,0,1,0,0,0
"22088",22088,"Hard Target",1993,73,15000000,5.4,4372,1,0,0,0,0,0,0
"22119",22119,"Hardware",1990,93,1500000,5.2,1323,1,0,0,0,0,0,0
"22166",22166,"Harold & Kumar Go to White Castle",2004,90,9000000,7.1,8376,0,0,1,0,0,0,0
"22168",22168,"Harold and Maude",1971,91,1200000,7.9,9173,0,0,1,1,0,1,0
"22186",22186,"Harry Potter and the Chamber of Secrets",2002,152,100000000,7.3,38394,0,0,0,0,0,0,0
"22187",22187,"Harry Potter and the Prisoner of Azkaban",2004,141,130000000,7.8,24973,0,0,0,0,0,0,0
"22188",22188,"Harry Potter and the Sorcerer's Stone",2001,152,130000000,7.2,46741,0,0,0,0,0,0,0
"22199",22199,"Hart's War",2002,125,70000000,6.2,6368,0,0,0,1,0,0,0
"22207",22207,"Harvard Man",2001,99,5500000,4.9,1157,0,0,0,1,0,1,0
"22266",22266,"Haunted Mansion, The",2003,87,90000000,5,3341,0,0,1,0,0,0,0
"22279",22279,"Haunting, The",1963,112,1400000,7.6,4641,0,0,0,0,0,0,0
"22280",22280,"Haunting, The",1999,112,80000000,4.6,14425,0,0,0,0,0,0,0
"22345",22345,"He Got Game",1998,137,25000000,6.6,4198,0,0,0,1,0,0,0
"22367",22367,"Head",1968,110,750000,6.1,1119,0,0,1,0,0,0,0
"22374",22374,"Head Over Heels",2001,86,14000000,4.9,2632,0,0,1,0,0,1,0
"22438",22438,"Heartbreakers",2001,110,40000000,6.2,8037,0,0,1,0,0,1,0
"22448",22448,"Hearts in Atlantis",2001,101,31000000,6.7,6577,0,0,0,1,0,0,0
"22460",22460,"Heat",1995,188,60000000,7.9,44588,1,0,0,1,0,0,0
"22478",22478,"Heaven",2002,96,11000000,7.3,3857,0,0,0,1,0,0,0
"22479",22479,"Heaven & Earth",1993,140,33000000,6.4,1987,1,0,0,1,0,0,0
"22493",22493,"Heaven's Gate",1980,219,44000000,6.2,1439,0,0,0,1,0,0,0
"22495",22495,"Heaven's Prisoners",1996,132,25000000,5.4,1405,0,0,0,0,0,0,0
"22500",22500,"Heavenly Creatures",1994,108,5000000,7.7,11453,0,0,0,1,0,1,0
"22510",22510,"Heavy Metal",1981,90,9300000,6.2,4538,1,1,0,0,0,0,0
"22511",22511,"Heavy Metal 2000",2000,88,15000000,5.1,1148,1,1,0,0,0,0,0
"22528",22528,"Hedwig and the Angry Inch",2001,93,6000000,7.7,6072,0,0,1,1,0,1,0
"22564",22564,"Heiress, The",1949,115,2600000,7.9,1252,0,0,0,1,0,1,0
"22643",22643,"Hellboy",2004,132,66000000,6.7,15565,1,0,0,0,0,0,0
"22668",22668,"Hello, Dolly!",1969,146,25000000,6.3,1499,0,0,1,0,0,1,0
"22674",22674,"Hellraiser",1987,89,1000000,6.5,6815,0,0,0,0,0,0,0
"22676",22676,"Hellraiser: Bloodline",1996,86,4000000,4.2,2041,0,0,0,0,0,0,0
"22684",22684,"Help!",1965,90,1500000,7.1,2517,0,0,1,0,0,0,0
"22733",22733,"Henry V",1989,137,9000000,7.9,8241,1,0,0,1,0,0,0
"22739",22739,"Henry: Portrait of a Serial Killer",1986,78,111000,7.1,3067,0,0,0,0,0,0,0
"22778",22778,"Hercules",1997,92,70000000,6.6,5279,0,1,1,0,0,0,0
"22807",22807,"Here on Earth",2000,93,15000000,4.8,2187,0,0,0,1,0,1,0
"22825",22825,"Hero",1992,117,42000000,6.2,4705,0,0,1,1,0,0,0
"22926",22926,"Hidalgo",2004,136,78000000,6.6,7328,1,0,0,1,0,0,0
"22951",22951,"Hide and Seek",2005,101,30000000,5.2,3784,0,0,0,1,0,0,0
"22955",22955,"Hideaway",1995,106,15000000,5,1303,0,0,0,0,0,0,0
"22958",22958,"Hideous Kinky",1998,98,12000000,6.1,1615,0,0,0,1,0,0,0
"22967",22967,"High Anxiety",1977,94,3400000,6.4,2557,0,0,1,0,0,0,0
"22975",22975,"High Crimes",2002,115,42000000,6.1,6043,0,0,0,1,0,0,0
"22979",22979,"High Fidelity",2000,113,20000000,7.6,29704,0,0,1,1,0,1,0
"22989",22989,"High Noon",1952,85,750000,8.3,12465,0,0,0,0,0,0,0
"23010",23010,"High Sierra",1941,100,455000,7.5,1640,0,0,0,1,0,0,0
"23043",23043,"Highlander",1986,116,16000000,7.1,18146,1,0,0,0,0,0,0
"23044",23044,"Highlander II: The Quickening",1991,92,30000000,3.4,9264,1,0,0,0,0,0,0
"23045",23045,"Highlander III: The Sorcerer",1994,102,26000000,3.7,3388,1,0,0,0,0,0,0
"23047",23047,"Highlander: Endgame",2000,101,15000000,4.4,3773,1,0,0,0,0,0,0
"23098",23098,"Hills Have Eyes, The",1977,86,230000,6,1560,0,0,0,0,0,0,0
"23232",23232,"History of the World: Part I",1981,97,11000000,6.4,5640,0,0,1,0,0,0,0
"23250",23250,"Hitch",2005,118,70000000,6.8,7554,0,0,1,0,0,1,0
"23255",23255,"Hitcher, The",1986,97,6000000,6.8,4420,1,0,0,1,0,0,0
"23258",23258,"Hitchhiker's Guide to the Galaxy, The",2005,110,50000000,6.9,7644,0,0,1,0,0,0,0
"23318",23318,"Hocus Pocus",1993,96,28000000,5.3,3256,0,0,1,0,0,0,0
"23371",23371,"Holes",2003,117,30000000,7.2,5235,0,0,1,1,0,0,0
"23381",23381,"Holiday Inn",1942,100,3200000,7.4,1252,0,0,1,0,0,1,0
"23397",23397,"Hollow Man",2000,112,95000000,5.3,16168,0,0,0,0,0,0,0
"23416",23416,"Hollywood Ending",2002,112,16000000,6.3,3673,0,0,1,1,0,0,0
"23425",23425,"Hollywood Homicide",2003,116,75000000,5.2,5312,1,0,1,0,0,0,0
"23474",23474,"Holy Man",1998,114,60000000,4.9,3497,0,0,1,1,0,0,0
"23499",23499,"Home Alone",1990,103,15000000,6.4,21670,0,0,1,0,0,0,0
"23509",23509,"Home Fries",1998,91,15000000,4.9,2374,0,0,1,1,0,1,0
"23527",23527,"Home at the End of the World, A",2004,96,6500000,6.5,1693,0,0,0,1,0,1,0
"23542",23542,"Home on the Range",2004,76,110000000,5.4,1510,0,1,1,0,0,0,0
"23614",23614,"Honey",2003,94,17000000,3.9,3067,0,0,0,1,0,1,0
"23648",23648,"Hong faan kui",1996,91,7500000,6.5,4644,1,0,1,0,0,0,0
"23692",23692,"Hook",1991,144,70000000,5.8,19368,0,0,0,0,0,0,0
"23703",23703,"Hoop Dreams",1994,170,700000,7.9,4668,0,0,0,0,1,0,0
"23723",23723,"Hope Floats",1998,114,30000000,5.3,4382,0,0,1,1,0,1,0
"23781",23781,"Horse Whisperer, The",1998,170,60000000,6.4,6744,0,0,0,1,0,1,0
"23811",23811,"Hostage",2005,113,52000000,6.6,3709,0,0,0,1,0,0,0
"23906",23906,"Hotel New Hampshire, The",1984,109,7500000,5.8,2065,0,0,1,1,0,0,0
"23951",23951,"Hours, The",2002,114,25000000,7.6,16692,0,0,0,1,0,0,0
"23952",23952,"House",1986,93,3000000,5.5,1672,0,0,1,0,0,0,0
"23984",23984,"House of 1000 Corpses",2003,88,7000000,5.1,6136,0,0,0,0,0,0,0
"24000",24000,"House of Mirth, The",2000,140,10000000,6.9,2167,0,0,0,1,0,1,0
"24005",24005,"House of Sand and Fog",2003,126,16000000,7.8,8164,0,0,0,1,0,0,0
"24012",24012,"House of Usher",1960,79,270000,6.8,1031,0,0,0,0,0,0,0
"24014",24014,"House of Wax",1953,90,658000,6.9,1386,0,0,0,0,0,0,0
"24015",24015,"House of Wax",2005,105,30000000,4.6,1298,0,0,0,0,0,0,0
"24018",24018,"House of Yes, The",1997,85,1500000,6.5,2345,0,0,1,1,0,0,0
"24022",24022,"House of the Dead",2003,90,7000000,2.3,3921,1,0,0,0,0,0,0
"24028",24028,"House of the Spirits, The",1993,146,40000000,6.3,3205,0,0,0,1,0,1,0
"24034",24034,"House on Haunted Hill",1959,75,200000,6.6,1608,0,0,0,0,0,0,0
"24035",24035,"House on Haunted Hill",1999,99,19000000,5.1,9694,0,0,0,0,0,0,0
"24040",24040,"House on Turk Street, The",2002,103,12000000,5.5,1048,0,0,0,1,0,0,0
"24063",24063,"How Green Was My Valley",1941,118,1250000,7.9,2662,0,0,0,1,0,1,0
"24065",24065,"How High",2001,95,12000000,4.9,2916,0,0,1,0,0,0,0
"24082",24082,"How Stella Got Her Groove Back",1998,124,20000000,5,1475,0,0,0,1,0,1,0
"24088",24088,"How the Grinch Stole Christmas",2000,104,123000000,5.7,12680,0,0,1,1,0,0,0
"24089",24089,"How the West Was Won",1962,162,14000000,6.9,2029,0,0,0,1,0,0,0
"24102",24102,"How to Deal",2003,102,16000000,5.5,1537,0,0,1,1,0,1,0
"24118",24118,"How to Lose a Guy in 10 Days",2003,116,50000000,6.1,9257,0,0,1,0,0,1,0
"24138",24138,"How to Steal a Million",1966,123,6000000,7.2,1655,0,0,1,1,0,1,0
"24153",24153,"Howard the Duck",1986,110,30000000,3.9,6582,1,0,1,0,0,0,0
"24158",24158,"Howling, The",1981,91,1000000,6.3,2546,0,0,0,0,0,0,0
"24169",24169,"Hsi yen",1993,106,1000000,7.5,2342,0,0,1,1,0,1,0
"24205",24205,"Hud",1963,112,2500000,7.9,2450,1,0,0,1,0,0,0
"24209",24209,"Hudson Hawk",1991,103,65000000,5.1,8904,1,0,1,0,0,0,0
"24212",24212,"Hudsucker Proxy, The",1994,111,25000000,7.4,12903,0,0,1,0,0,1,0
"24234",24234,"Hulk",2003,138,120000000,6.1,20710,1,0,0,1,0,0,0
"24280",24280,"Hunchback of Notre Dame, The",1996,91,70000000,6.5,6093,0,1,1,1,0,0,0
"24305",24305,"Hunt for Red October, The",1990,134,30000000,7.6,26666,1,0,0,0,0,0,0
"24349",24349,"Hurricane, The",1999,145,38000000,7.3,12445,0,0,0,1,0,0,0
"24356",24356,"Husbands and Wives",1992,108,20000000,7.4,3622,0,0,1,1,0,0,0
"24361",24361,"Hush... Hush, Sweet Charlotte",1964,133,1900000,7.3,1293,0,0,0,0,0,0,0
"24369",24369,"Hustler, The",1961,134,2000000,8.2,8220,0,0,0,1,0,0,0
"24413",24413,"I Am Sam",2001,132,22000000,7.2,9945,0,0,0,1,0,0,0
"24420",24420,"I Am a Fugitive from a Chain Gang",1932,93,195845,8.1,1198,0,0,0,1,0,0,0
"24432",24432,"I Come in Peace",1990,91,7000000,4.8,1033,1,0,0,0,0,0,0
"24455",24455,"I Dreamed of Africa",2000,114,34000000,5.2,1113,0,0,0,1,0,0,0
"24466",24466,"I Heart Huckabees",2004,106,22000000,7,7262,0,0,1,0,0,0,0
"24475",24475,"I Know What You Did Last Summer",1997,99,17000000,5.3,15932,0,0,0,0,0,0,0
"24547",24547,"I Spy",2002,97,70000000,5.3,5521,1,0,1,0,0,0,0
"24548",24548,"I Still Know What You Did Last Summer",1998,100,24000000,4,9524,0,0,0,0,0,0,0
"24692",24692,"I, Robot",2004,115,105000000,7,22330,1,0,0,0,0,0,0
"24720",24720,"Ice Age",2002,81,60000000,7.3,22302,0,1,1,0,0,0,0
"24729",24729,"Ice Pirates, The",1984,91,9000000,4.9,1426,1,0,1,0,0,0,0
"24734",24734,"Ice Storm, The",1997,112,18000000,7.5,13115,0,0,0,1,0,0,0
"24772",24772,"Ideal Husband, An",1999,97,14000000,7,4584,0,0,1,0,0,1,0
"24779",24779,"Identity",2003,90,30000000,7.3,18747,0,0,0,1,0,0,0
"24793",24793,"Idle Hands",1999,92,20000000,5.4,5892,0,0,1,0,0,0,0
"24840",24840,"Igby Goes Down",2002,99,9000000,7.1,7958,0,0,1,1,0,0,0
"24955",24955,"Imitation of Life",1959,125,2000000,7.4,1483,0,0,0,1,0,1,0
"24992",24992,"Importance of Being Earnest, The",2002,97,15000000,6.8,3598,0,0,1,1,0,1,0
"25002",25002,"Impostor",2002,102,40000000,5.8,3292,1,0,0,1,0,0,0
"25019",25019,"In & Out",1997,92,35000000,6.2,10352,0,0,1,0,0,0,0
"25026",25026,"In Cold Blood",1967,129,3500000,8,2406,0,0,0,1,0,0,0
"25029",25029,"In Crowd, The",2000,104,15000000,4,1342,0,0,0,1,0,0,0
"25032",25032,"In Dreams",1999,98,30000000,5.3,3652,0,0,0,0,0,0,0
"25132",25132,"In the Bedroom",2001,130,1700000,7.4,10177,0,0,0,1,0,0,0
"25139",25139,"In the Company of Men",1997,97,25000,7.3,3618,0,0,1,0,0,0,0
"25141",25141,"In the Cut",2003,119,12000000,5.1,4525,0,0,0,0,0,0,0
"25150",25150,"In the Heat of the Night",1967,109,2000000,8,6752,0,0,0,1,0,0,0
"25156",25156,"In the Line of Fire",1993,138,40000000,7.3,12923,0,0,0,1,0,0,0
"25162",25162,"In the Mouth of Madness",1994,95,14000000,6.5,4835,0,0,0,0,0,0,0
"25247",25247,"Incredible Shrinking Man, The",1957,81,750000,7.6,1544,0,0,0,0,0,0,0
"25250",25250,"Incredibles, The",2004,121,92000000,8.3,30749,1,1,1,0,0,0,0
"25264",25264,"Indecent Proposal",1993,117,38000000,5.3,7397,0,0,0,1,0,1,0
"25272",25272,"Independence Day",1996,153,75000000,6.1,61831,1,0,0,0,0,0,0
"25291",25291,"Indian in the Cupboard, The",1995,96,45000000,5.8,1430,0,0,0,0,0,0,0
"25292",25292,"Indiana Jones and the Last Crusade",1989,127,48000000,8.1,61583,1,0,0,0,0,0,0
"25293",25293,"Indiana Jones and the Temple of Doom",1984,118,28000000,7.2,34880,1,0,0,0,0,0,0
"25330",25330,"Inferno",1980,102,3000000,6.2,1245,0,0,0,0,0,0,0
"25464",25464,"Insider, The",1999,157,68000000,8,28780,0,0,0,1,0,0,0
"25474",25474,"Insomnia",2002,118,46000000,7.3,22235,0,0,0,1,0,0,0
"25483",25483,"Inspector Gadget",1999,78,75000000,4,5288,1,0,1,0,0,0,0
"25494",25494,"Instinct",1999,126,55000000,6.1,6298,0,0,0,1,0,0,0
"25515",25515,"Interiors",1978,93,10000000,7.1,1736,0,0,0,1,0,0,0
"25518",25518,"Intermission",2003,102,5000000,6.4,1971,0,0,1,1,0,0,0
"25536",25536,"Interpreter, The",2005,128,80000000,6.6,4678,0,0,0,1,0,0,0
"25541",25541,"Interstate 60",2002,116,7000000,7.7,2495,0,0,1,1,0,0,0
"25550",25550,"Interview with the Vampire: The Vampire Chronicles",1994,123,50000000,7.2,26698,0,0,0,1,0,0,0
"25583",25583,"Intolerable Cruelty",2003,100,60000000,6.6,11967,0,0,1,0,0,1,0
"25587",25587,"Intolerance: Love's Struggle Through the Ages",1916,197,385907,7.8,1493,0,0,0,1,0,0,0
"25624",25624,"Invasion of the Body Snatchers",1956,80,417000,7.8,5286,0,0,0,0,0,0,0
"25631",25631,"Invasions barbares, Les",2003,112,5000000,7.9,4900,0,0,1,1,0,0,0
"25736",25736,"Irma la Douce",1963,135,5000000,7.2,1964,0,0,1,0,0,1,0
"25743",25743,"Iron Giant, The",1999,86,48000000,7.9,15151,0,1,0,0,0,0,0
"25791",25791,"Ishtar",1987,107,40000000,3.7,3479,0,0,1,0,0,0,0
"25809",25809,"Island of Dr. Moreau, The",1996,99,40000000,4,5983,0,0,0,0,0,0,0
"25872",25872,"It Happened One Night",1934,105,325000,8.3,7924,0,0,1,0,0,1,0
"25958",25958,"It's a Mad Mad Mad Mad World",1963,192,9400000,7.2,5891,1,0,1,0,0,0,0
"25962",25962,"It's a Wonderful Life",1946,118,3180000,8.6,41199,0,0,0,1,0,1,0
"25977",25977,"Italian Job, The",2003,111,60000000,6.9,18496,1,0,0,0,0,0,0
"26048",26048,"JFK",1991,206,40000000,7.8,26456,0,0,0,1,0,0,0
"26055",26055,"Jabberwocky",1977,105,500000,6,2109,0,0,1,0,0,0,0
"26057",26057,"Jack",1996,113,45000000,5.2,5256,0,0,1,1,0,0,0
"26066",26066,"Jack Frost",1998,101,50000000,4.5,2130,0,0,1,1,0,0,0
"26094",26094,"Jackal, The",1997,124,60000000,5.7,12753,0,0,0,0,0,0,0
"26098",26098,"Jackass: The Movie",2002,87,5000000,6.1,8893,0,0,1,0,1,0,0
"26100",26100,"Jacket, The",2005,102,19000000,6.4,1564,0,0,0,0,0,0,0
"26102",26102,"Jackie Brown",1997,154,12000000,7.5,28891,0,0,0,1,0,0,0
"26116",26116,"Jacob's Ladder",1990,115,25000000,7.3,8901,0,0,0,1,0,0,0
"26124",26124,"Jade",1995,107,50000000,4.8,2380,1,0,0,1,0,0,0
"26175",26175,"Jakob the Liar",1999,120,15000000,5.9,2544,0,0,1,1,0,0,0
"26194",26194,"James and the Giant Peach",1996,79,38000000,6.6,3144,0,1,0,0,0,0,0
"26206",26206,"Jane Austen's Mafia!",1998,83,10000000,4.8,2999,0,0,1,1,0,0,0
"26238",26238,"Japanese Story",2003,105,5740000,7,1330,0,0,0,1,0,0,0
"26249",26249,"Jason Goes to Hell: The Final Friday",1993,91,2500000,3.9,2651,1,0,0,0,0,0,0
"26250",26250,"Jason X",2001,85,14000000,4.6,5975,0,0,0,0,0,0,0
"26251",26251,"Jason and the Argonauts",1963,104,1000000,7.2,2408,1,0,0,0,0,0,0
"26261",26261,"Jaws",1975,130,12000000,8.2,46978,0,0,0,0,0,0,0
"26264",26264,"Jaws 3-D",1983,99,20500000,3.2,5028,1,0,0,0,0,0,0
"26267",26267,"Jaws: The Revenge",1987,91,23000000,2.6,5365,0,0,0,0,0,0,0
"26269",26269,"Jay and Silent Bob Strike Back",2001,104,22000000,6.9,24211,0,0,1,0,0,0,0
"26324",26324,"Jeepers Creepers",2001,90,10000000,5.4,10973,0,0,0,1,0,0,0
"26325",26325,"Jeepers Creepers II",2003,104,25000000,5.2,4069,0,0,0,0,0,0,0
"26383",26383,"Jerry Maguire",1996,139,50000000,7.3,34623,0,0,1,1,0,1,0
"26393",26393,"Jersey Girl",2004,102,35000000,6.4,6853,0,0,1,1,0,0,0
"26420",26420,"Jesus' Son",1999,107,2500000,6.9,2291,0,0,0,1,0,0,0
"26454",26454,"Jezebel",1938,104,1250000,7.4,1163,0,0,0,1,0,0,0
"26511",26511,"Jimmy Neutron: Boy Genius",2001,84,25000000,6,2280,0,1,1,0,0,0,0
"26529",26529,"Jing cha gu shi III: Chao ji jing cha",1992,95,900000,6.7,2024,1,0,1,0,0,0,0
"26535",26535,"Jing wu men",1972,107,100000,6.7,1667,1,0,0,1,0,0,0
"26544",26544,"Jingle All the Way",1996,88,60000000,4.7,6246,1,0,1,0,0,0,0
"26557",26557,"Jisatsu saakuru",2002,99,250000,6.8,1311,0,0,0,0,0,0,0
"26593",26593,"Joe Dirt",2001,91,16000000,5.1,5514,0,0,1,0,0,1,0
"26606",26606,"Joe Somebody",2001,98,38000000,5.5,1937,0,0,1,1,0,1,0
"26609",26609,"Joe's Apartment",1996,80,13000000,5,2169,0,0,1,0,0,0,0
"26644",26644,"John Q",2002,116,36000000,6.4,8952,0,0,0,1,0,0,0
"26669",26669,"Johnny English",2003,87,35000000,5.6,8125,1,0,1,0,0,0,0
"26682",26682,"Johnny Mnemonic",1995,96,26000000,4.7,8258,1,0,0,0,0,0,0
"26777",26777,"Josie and the Pussycats",2001,98,22000000,5.2,4508,0,0,1,0,0,0,0
"26837",26837,"Joy Ride",2001,97,23000000,6.6,8132,0,0,0,0,0,0,0
"26871",26871,"Judge Dredd",1995,96,90000000,4.6,9979,1,0,0,0,0,0,0
"26883",26883,"Judgment at Nuremberg",1961,186,3000000,8.2,3336,0,0,0,1,0,0,0
"26926",26926,"Jui kuen II",1994,99,2000000,7.5,4628,1,0,1,0,0,0,0
"26963",26963,"Jumanji",1995,104,65000000,6,14874,1,0,1,0,0,0,0
"26997",26997,"Jungle Book, The",1994,111,27000000,5.9,1692,0,0,0,0,0,1,0
"27004",27004,"Jungle Fever",1991,132,14000000,6.4,2829,0,0,0,1,0,1,0
"27052",27052,"Jurassic Park",1993,127,63000000,7.4,57473,1,0,0,0,0,0,0
"27053",27053,"Jurassic Park III",2001,92,93000000,5.6,20690,1,0,0,0,0,0,0
"27056",27056,"Juror, The",1996,118,44000000,5.3,2920,0,0,0,1,0,0,0
"27095",27095,"Just Visiting",2001,93,40000000,5.6,2212,0,0,1,0,0,0,0
"27148",27148,"K-19: The Widowmaker",2002,140,100000000,6.6,8292,0,0,0,1,0,0,0
"27150",27150,"K-PAX",2001,120,48000000,7.2,17235,0,0,0,1,0,0,0
"27188",27188,"Kafka",1991,92,11000000,6.9,1751,0,0,0,1,0,0,0
"27190",27190,"Kagemusha",1980,162,6000000,7.9,3536,0,0,0,1,0,0,0
"27255",27255,"Kalifornia",1993,118,9000000,6.6,8113,0,0,0,0,0,0,0
"27272",27272,"Kama Sutra: A Tale of Love",1996,114,3000000,5.5,1491,0,0,0,1,0,1,0
"27322",27322,"Kangaroo Jack",2003,89,60000000,3.9,3661,0,0,1,0,0,0,0
"27335",27335,"Kansas City",1996,116,19000000,5.8,1077,0,0,0,1,0,0,0
"27369",27369,"Karakter",1997,122,4500000,7.7,2687,0,0,0,1,0,0,0
"27430",27430,"Kate & Leopold",2001,123,48000000,6.3,8060,0,0,1,0,0,1,0
"27508",27508,"Keep, The",1983,96,6000000,5.4,1217,0,0,0,0,0,0,0
"27519",27519,"Keeping the Faith",2000,128,30000000,6.8,11351,0,0,1,1,0,1,0
"27560",27560,"Kentucky Fried Movie, The",1977,90,600000,6.4,3756,0,0,1,0,0,0,0
"27679",27679,"Kid, The",1921,54,250000,8.2,2687,0,0,1,1,0,0,0
"27681",27681,"Kid, The",2000,104,65000000,6.1,5418,0,0,1,1,0,0,0
"27695",27695,"Kids",1995,91,1500000,6.6,9099,0,0,0,1,0,0,0
"27719",27719,"Kill Bill: Vol. 1",2003,111,55000000,8.3,65026,1,0,0,1,0,0,0
"27720",27720,"Kill Bill: Vol. 2",2004,136,30000000,8.3,44189,1,0,0,1,0,0,0
"27761",27761,"Killer Klowns from Outer Space",1988,88,2000000,5.3,2702,0,0,1,0,0,0,0
"27779",27779,"Killer's Kiss",1955,67,75000,6.6,1871,0,0,0,1,0,0,0
"27805",27805,"Killing Me Softly",2002,104,25000000,5.4,1771,0,0,0,1,0,0,0
"27812",27812,"Killing Zoe",1994,99,1500000,6.2,4834,0,0,0,0,0,0,0
"27821",27821,"Killing, The",1956,85,320000,8.1,6980,0,0,0,1,0,0,0
"27852",27852,"King Arthur",2004,140,90000000,6,14272,1,0,0,1,0,0,0
"27863",27863,"King Kong",1933,100,670000,7.9,10301,0,0,0,0,0,0,0
"27864",27864,"King Kong",1976,134,24000000,5.3,3181,0,0,1,0,0,1,0
"27878",27878,"King Solomon's Mines",1985,100,12500000,4.4,1662,1,0,1,0,0,0,0
"27891",27891,"King of Comedy, The",1983,109,20000000,7.5,6189,0,0,1,1,0,0,0
"27909",27909,"King of the Hill",1993,109,8000000,7.4,1233,0,0,0,1,0,0,0
"27941",27941,"Kingdom of Heaven",2005,145,130000000,7,6498,1,0,0,1,0,0,0
"27945",27945,"Kingpin",1996,117,25000000,6.6,10643,0,0,1,0,0,0,0
"27966",27966,"Kinsey",2004,118,11000000,7.6,3225,0,0,0,1,0,0,0
"28023",28023,"Kiss of the Dragon",2001,98,25000000,6.2,7887,1,0,0,1,0,0,0
"28032",28032,"Kiss the Girls",1997,111,27000000,6.4,9041,0,0,0,1,0,0,0
"28047",28047,"Kissing Jessica Stein",2001,97,1000000,7,4236,0,0,1,0,0,1,0
"28140",28140,"Knight's Tale, A",2001,132,41000000,6.5,15006,1,0,1,0,0,0,0
"28153",28153,"Knock Off",1998,91,35000000,3.8,1947,1,0,0,0,0,0,0
"28295",28295,"Kontroll",2003,107,500000,7.8,1174,0,0,0,0,0,0,0
"28501",28501,"Kundun",1997,128,28000000,7.1,4306,0,0,0,1,0,0,0
"28509",28509,"Kung Pow: Enter the Fist",2002,82,10000000,5.1,5871,1,0,1,0,0,0,0
"28602",28602,"L.A. Confidential",1997,138,35000000,8.4,69600,0,0,0,1,0,0,0
"28645",28645,"Labyrinth",1986,101,25000000,7,12661,0,0,0,0,0,0,0
"28747",28747,"Lady and the Tramp",1955,75,4000000,7.4,6952,0,1,1,1,0,1,0
"28754",28754,"Lady from Shanghai, The",1947,79,2000000,7.6,2377,0,0,0,1,0,0,0
"28787",28787,"Ladyhawke",1985,121,20000000,6.8,7090,0,0,0,0,0,1,0
"28790",28790,"Ladykillers, The",2004,104,35000000,6.4,10580,0,0,1,0,0,0,0
"28809",28809,"Lair of the White Worm, The",1988,93,2500000,5.4,1716,0,0,0,0,0,0,0
